model,accuracy,precision,recall,f1,roc_auc,cv_f1_mean,cv_f1_std
logistic_regression,0.9668161434977578,0.8414634146341463,0.9261744966442953,0.8817891373801917,0.9907527061014076,0.8709560070383742,0.015362861860269533
complement_nb,0.9704035874439462,0.8717948717948718,0.912751677852349,0.8918032786885246,0.9888907415898954,0.911245166204559,0.01724527250313623
